company,year,words,lead_per_1000,horizon_per_1000,purpose_per_1000,options_per_1000,execution_per_1000,explore_count,exploit_count,customer_count,shareholder_count,explore_share,customer_share
Amazon,1997,1644,4.258,15.207,23.114,3.650,4.258,8,6,26,4,0.571,0.867
Amazon,2016,1829,6.561,17.496,15.856,2.734,3.280,24,1,20,0,0.960,1.000
Amazon,2020,4143,1.931,6.758,7.241,3.138,2.172,17,15,24,7,0.531,0.774
Amazon,2021,4618,0.217,8.229,13.859,15.158,3.681,70,17,64,3,0.805,0.955
Amazon,2022,5251,0.190,19.996,12.950,8.951,5.713,52,37,68,5,0.584,0.932
Amazon,2024,5171,2.514,10.830,14.891,10.249,8.316,48,16,70,2,0.750,0.972
Amazon,2025,5214,0.767,17.069,11.699,7.096,6.904,29,21,62,2,0.580,0.969
Chevron,2013,903,0.000,12.182,5.537,3.322,4.430,4,11,0,5,0.267,0.000
Chevron,2018,1588,1.889,14.484,7.557,5.038,10.705,6,18,1,6,0.250,0.143
Chevron,2020,1239,3.228,25.020,16.142,12.914,7.264,7,24,2,12,0.226,0.143
Chevron,2021,1305,3.831,12.261,16.092,11.494,3.831,9,15,6,5,0.375,0.545
Chevron,2022,1275,0.784,18.824,18.039,12.549,6.275,8,22,4,9,0.267,0.308
Chevron,2023,1060,0.000,14.151,21.698,11.321,2.830,2,10,3,7,0.167,0.300
Chevron,2024,1179,0.848,14.419,13.571,5.089,7.634,2,12,3,8,0.143,0.273
Nvidia,2017,863,1.159,44.032,3.476,4.635,3.476,14,3,0,2,0.824,0.000
Nvidia,2018,1306,0.766,30.628,4.594,7.657,5.360,12,6,1,2,0.667,0.333
Nvidia,2020,3027,0.330,35.018,1.321,7.929,11.232,34,16,1,2,0.680,0.333
Nvidia,2021,3285,0.609,35.008,2.131,8.524,7.306,38,6,3,0,0.864,1.000
Nvidia,2022,2107,0.475,45.088,3.322,6.645,7.119,17,9,4,2,0.654,0.667
Nvidia,2023,2531,0.395,69.933,4.741,6.322,11.853,31,12,9,0,0.721,1.000
Nvidia,2025,3324,1.203,72.503,5.415,10.830,13.538,23,43,7,3,0.348,0.700
Shell,2014,1198,0.835,16.694,8.347,6.678,2.504,2,17,0,10,0.105,0.000
Shell,2015,777,0.000,11.583,6.435,12.870,1.287,0,7,0,4,0.000,0.000
Shell,2016,948,5.274,10.549,6.329,15.823,3.165,1,19,0,5,0.050,0.000
Shell,2020,1128,3.546,10.638,17.730,2.660,2.660,1,11,10,9,0.083,0.526
Shell,2022,1388,4.323,10.086,9.366,2.161,5.764,2,15,2,9,0.118,0.182
Shell,2024,1370,2.920,13.869,4.380,6.569,2.190,1,13,1,3,0.071,0.250
Shell,2025,1647,1.214,12.143,7.286,8.500,4.250,2,9,7,2,0.182,0.778
