company,year,word_count,Strategic Leadership_count,Horizon Scanning / Sense-making_count,"Purpose, Vision, and Governance_count","Strategic Options, Experimentation, and Choices_count",Agile Execution and Organization_count,Strategic Leadership_per_1000,Horizon Scanning / Sense-making_per_1000,"Purpose, Vision, and Governance_per_1000","Strategic Options, Experimentation, and Choices_per_1000",Agile Execution and Organization_per_1000,explore_count,exploit_count,customer_count,shareholder_count,long_term_count,short_term_count,entrepreneurial_count,managerial_count,internal_innovation_count,external_innovation_count,risk_challenge_count,success_performance_count,explore_share_of_explore_exploit,customer_share_of_customer_shareholder,long_term_share_of_long_short,entrepreneurial_share_of_entrepreneurial_managerial,internal_share_of_internal_external,risk_share_of_risk_performance,explore_exploit_class,source_file
Amazon,1997,1644,7,25,38,6,7,4.258,15.207,23.114,3.650,4.258,8,6,26,4,18,5,6,2,3,2,6,16,0.571,0.867,0.783,0.750,0.600,0.273,ambidextrous/mixed,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,2016,1829,12,32,29,5,6,6.561,17.496,15.856,2.734,3.280,24,1,20,0,4,1,14,14,7,0,1,0,0.960,1.000,0.800,0.500,1.000,1.000,exploratory leaning,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2020,4143,8,28,30,13,9,1.931,6.758,7.241,3.138,2.172,17,15,24,7,7,0,8,16,12,3,5,13,0.531,0.774,1.000,0.333,0.800,0.278,ambidextrous/mixed,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2021,4618,1,38,64,70,17,0.217,8.229,13.859,15.158,3.681,70,17,64,3,11,2,34,13,42,3,17,17,0.805,0.955,0.846,0.723,0.933,0.500,exploratory leaning,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2022,5251,1,105,68,47,30,0.190,19.996,12.950,8.951,5.713,52,37,68,5,38,7,17,31,33,6,16,41,0.584,0.932,0.844,0.354,0.846,0.281,ambidextrous/mixed,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2024,5171,13,56,77,53,43,2.514,10.830,14.891,10.249,8.316,48,16,70,2,14,1,33,15,47,1,7,16,0.750,0.972,0.933,0.688,0.979,0.304,exploratory leaning,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2025,5214,4,89,61,37,36,0.767,17.069,11.699,7.096,6.904,29,21,62,2,13,4,21,7,34,3,5,38,0.580,0.969,0.765,0.750,0.919,0.116,ambidextrous/mixed,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Chevron,2013,903,0,11,5,3,4,0.000,12.182,5.537,3.322,4.430,4,11,0,5,5,0,1,8,2,3,0,19,0.267,0.000,1.000,0.111,0.400,0.000,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2018,1588,3,23,12,8,17,1.889,14.484,7.557,5.038,10.705,6,18,1,6,7,1,1,14,7,2,5,22,0.250,0.143,0.875,0.067,0.778,0.185,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2020,1239,4,31,20,16,9,3.228,25.020,16.142,12.914,7.264,7,24,2,12,14,2,0,13,4,11,16,20,0.226,0.143,0.875,0.000,0.267,0.444,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2021,1305,5,16,21,15,5,3.831,12.261,16.092,11.494,3.831,9,15,6,5,4,1,1,7,9,9,1,16,0.375,0.545,0.800,0.125,0.500,0.059,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2022,1275,1,24,23,16,8,0.784,18.824,18.039,12.549,6.275,8,22,4,9,8,0,0,10,6,7,9,21,0.267,0.308,1.000,0.000,0.462,0.300,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2023,1060,0,15,23,12,3,0.000,14.151,21.698,11.321,2.830,2,10,3,7,6,1,0,3,5,10,3,18,0.167,0.300,0.857,0.000,0.333,0.143,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2024,1179,1,17,16,6,9,0.848,14.419,13.571,5.089,7.634,2,12,3,8,5,1,0,7,2,3,4,25,0.143,0.273,0.833,0.000,0.400,0.138,exploitative leaning,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Nvidia,2017,863,1,38,3,4,3,1.159,44.032,3.476,4.635,3.476,14,3,0,2,4,1,1,1,8,0,1,10,0.824,0.000,0.800,0.500,1.000,0.091,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2018,1306,1,40,6,10,7,0.766,30.628,4.594,7.657,5.360,12,6,1,2,8,2,2,1,15,3,8,12,0.667,0.333,0.800,0.667,0.833,0.400,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2018_ceo_letter.txt
Nvidia,2020,3027,1,106,4,24,34,0.330,35.018,1.321,7.929,11.232,34,16,1,2,10,5,7,10,34,8,7,14,0.680,0.333,0.667,0.412,0.810,0.333,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2020_ceo_letter.txt
Nvidia,2021,3285,2,115,7,28,24,0.609,35.008,2.131,8.524,7.306,38,6,3,0,9,0,15,7,44,11,9,14,0.864,1.000,1.000,0.682,0.800,0.391,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2021_ceo_letter.txt
Nvidia,2022,2107,1,95,7,14,15,0.475,45.088,3.322,6.645,7.119,17,9,4,2,7,1,3,4,29,6,2,8,0.654,0.667,0.875,0.429,0.829,0.200,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2022_ceo_letter.txt
Nvidia,2023,2531,1,177,12,16,30,0.395,69.933,4.741,6.322,11.853,31,12,9,0,5,1,4,11,33,8,4,14,0.721,1.000,0.833,0.267,0.805,0.222,exploratory leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2023_ceo_letter.txt
Nvidia,2025,3324,4,241,18,36,45,1.203,72.503,5.415,10.830,13.538,23,43,7,3,14,1,3,17,38,11,0,16,0.348,0.700,0.933,0.150,0.776,0.000,exploitative leaning,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2025_ceo_letter.txt
Shell,2014,1198,1,20,10,8,3,0.835,16.694,8.347,6.678,2.504,2,17,0,10,12,0,0,11,2,3,2,20,0.105,0.000,1.000,0.000,0.400,0.091,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2014_ceo_letter.txt
Shell,2015,777,0,9,5,10,1,0.000,11.583,6.435,12.870,1.287,0,7,0,4,5,0,0,5,1,3,3,10,0.000,0.000,1.000,0.000,0.250,0.231,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2015_ceo_letter.txt
Shell,2016,948,5,10,6,15,3,5.274,10.549,6.329,15.823,3.165,1,19,0,5,6,0,1,12,3,5,2,15,0.050,0.000,1.000,0.077,0.375,0.118,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2016_ceo_letter.txt
Shell,2020,1128,4,12,20,3,3,3.546,10.638,17.730,2.660,2.660,1,11,10,9,5,0,0,6,4,2,5,10,0.083,0.526,1.000,0.000,0.667,0.333,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2020_ceo_letter.txt
Shell,2022,1388,6,14,13,3,8,4.323,10.086,9.366,2.161,5.764,2,15,2,9,2,0,0,12,2,2,1,19,0.118,0.182,1.000,0.000,0.500,0.050,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2022_ceo_letter.txt
Shell,2024,1370,4,19,6,9,3,2.920,13.869,4.380,6.569,2.190,1,13,1,3,4,2,0,10,5,5,3,16,0.071,0.250,0.667,0.000,0.500,0.158,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2024_ceo_letter.txt
Shell,2025,1647,2,20,12,14,7,1.214,12.143,7.286,8.500,4.250,2,9,7,2,9,3,1,9,5,6,2,14,0.182,0.778,0.750,0.100,0.455,0.125,exploitative leaning,02_extracted_text/selected_ceo_letters/shell/shell_2025_ceo_letter.txt
