company,year,theme,count,per_1000_words,source_file
Amazon,1997,Strategic Leadership,6,3.650,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,1997,Horizon Scanning / Sense-making,9,5.474,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,1997,"Purpose, Vision, and Governance",29,17.640,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,1997,"Strategic Options, Experimentation, and Choices",6,3.650,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,1997,Agile Execution and Organization,7,4.258,02_extracted_text/selected_ceo_letters/amazon/amazon_1997_ceo_letter.txt
Amazon,2016,Strategic Leadership,3,1.640,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2016,Horizon Scanning / Sense-making,4,2.187,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2016,"Purpose, Vision, and Governance",17,9.295,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2016,"Strategic Options, Experimentation, and Choices",5,2.734,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2016,Agile Execution and Organization,6,3.280,02_extracted_text/selected_ceo_letters/amazon/amazon_2016_ceo_letter.txt
Amazon,2020,Strategic Leadership,5,1.207,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2020,Horizon Scanning / Sense-making,8,1.931,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2020,"Purpose, Vision, and Governance",28,6.758,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2020,"Strategic Options, Experimentation, and Choices",13,3.138,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2020,Agile Execution and Organization,9,2.172,02_extracted_text/selected_ceo_letters/amazon/amazon_2020_ceo_letter.txt
Amazon,2021,Strategic Leadership,0,0.000,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2021,Horizon Scanning / Sense-making,13,2.815,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2021,"Purpose, Vision, and Governance",58,12.560,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2021,"Strategic Options, Experimentation, and Choices",70,15.158,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2021,Agile Execution and Organization,17,3.681,02_extracted_text/selected_ceo_letters/amazon/amazon_2021_ceo_letter.txt
Amazon,2022,Strategic Leadership,1,0.190,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2022,Horizon Scanning / Sense-making,25,4.761,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2022,"Purpose, Vision, and Governance",65,12.379,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2022,"Strategic Options, Experimentation, and Choices",47,8.951,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2022,Agile Execution and Organization,30,5.713,02_extracted_text/selected_ceo_letters/amazon/amazon_2022_ceo_letter.txt
Amazon,2024,Strategic Leadership,10,1.934,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2024,Horizon Scanning / Sense-making,32,6.188,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2024,"Purpose, Vision, and Governance",69,13.344,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2024,"Strategic Options, Experimentation, and Choices",53,10.249,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2024,Agile Execution and Organization,43,8.316,02_extracted_text/selected_ceo_letters/amazon/amazon_2024_ceo_letter.txt
Amazon,2025,Strategic Leadership,4,0.767,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Amazon,2025,Horizon Scanning / Sense-making,44,8.439,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Amazon,2025,"Purpose, Vision, and Governance",57,10.932,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Amazon,2025,"Strategic Options, Experimentation, and Choices",37,7.096,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Amazon,2025,Agile Execution and Organization,36,6.904,02_extracted_text/selected_ceo_letters/amazon/amazon_2025_ceo_letter.txt
Chevron,2013,Strategic Leadership,0,0.000,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2013,Horizon Scanning / Sense-making,6,6.645,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2013,"Purpose, Vision, and Governance",5,5.537,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2013,"Strategic Options, Experimentation, and Choices",3,3.322,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2013,Agile Execution and Organization,1,1.107,02_extracted_text/selected_ceo_letters/chevron/chevron_2013_ceo_letter.txt
Chevron,2018,Strategic Leadership,3,1.889,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2018,Horizon Scanning / Sense-making,7,4.408,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2018,"Purpose, Vision, and Governance",10,6.297,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2018,"Strategic Options, Experimentation, and Choices",8,5.038,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2018,Agile Execution and Organization,16,10.076,02_extracted_text/selected_ceo_letters/chevron/chevron_2018_ceo_letter.txt
Chevron,2020,Strategic Leadership,4,3.228,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2020,Horizon Scanning / Sense-making,10,8.071,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2020,"Purpose, Vision, and Governance",15,12.107,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2020,"Strategic Options, Experimentation, and Choices",13,10.492,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2020,Agile Execution and Organization,9,7.264,02_extracted_text/selected_ceo_letters/chevron/chevron_2020_ceo_letter.txt
Chevron,2021,Strategic Leadership,4,3.065,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2021,Horizon Scanning / Sense-making,4,3.065,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2021,"Purpose, Vision, and Governance",11,8.429,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2021,"Strategic Options, Experimentation, and Choices",14,10.728,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2021,Agile Execution and Organization,4,3.065,02_extracted_text/selected_ceo_letters/chevron/chevron_2021_ceo_letter.txt
Chevron,2022,Strategic Leadership,1,0.784,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2022,Horizon Scanning / Sense-making,10,7.843,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2022,"Purpose, Vision, and Governance",12,9.412,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2022,"Strategic Options, Experimentation, and Choices",14,10.980,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2022,Agile Execution and Organization,8,6.275,02_extracted_text/selected_ceo_letters/chevron/chevron_2022_ceo_letter.txt
Chevron,2023,Strategic Leadership,0,0.000,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2023,Horizon Scanning / Sense-making,4,3.774,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2023,"Purpose, Vision, and Governance",14,13.208,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2023,"Strategic Options, Experimentation, and Choices",10,9.434,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2023,Agile Execution and Organization,3,2.830,02_extracted_text/selected_ceo_letters/chevron/chevron_2023_ceo_letter.txt
Chevron,2024,Strategic Leadership,1,0.848,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Chevron,2024,Horizon Scanning / Sense-making,6,5.089,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Chevron,2024,"Purpose, Vision, and Governance",11,9.330,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Chevron,2024,"Strategic Options, Experimentation, and Choices",5,4.241,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Chevron,2024,Agile Execution and Organization,9,7.634,02_extracted_text/selected_ceo_letters/chevron/chevron_2024_ceo_letter.txt
Nvidia,2017,Strategic Leadership,1,1.159,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2017,Horizon Scanning / Sense-making,20,23.175,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2017,"Purpose, Vision, and Governance",2,2.317,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2017,"Strategic Options, Experimentation, and Choices",4,4.635,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2017,Agile Execution and Organization,3,3.476,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2017_ceo_letter.txt
Nvidia,2018,Strategic Leadership,1,0.766,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2018_ceo_letter.txt
Nvidia,2018,Horizon Scanning / Sense-making,21,16.080,02_extracted_text/selected_ceo_letters/nvidia/nvidia_2018_ceo_letter.txt
